SampleID	Group	Tetrasphaera_australiensis	Deinococcus_wulumuqiensis	Actinomyces_sp_ICM47	Moesziomyces_antarcticus	Leclercia_adecarboxylata	Malassezia_restricta	Malassezia_globosa	Paracoccus_sphaerophysae	Morganella_morganii	Klebsiella_pneumoniae	Escherichia_coli	Bacillus_velezensis	Acinetobacter_baumannii	Corynebacterium_propinquum	Corynebacterium_matruchotii	Pelomonas_puraquae	Stenotrophomonas_maltophilia	Corynebacterium_tuberculostearicum	Corynebacterium_pseudogenitalium	Corynebacterium_macginleyi	Methyloversatilis_universalis	Moraxella_osloensis	Xanthomonas_campestris	Brevibacterium_casei	Ralstonia_pickettii	Pseudomonas_stutzeri	Pseudomonas_aeruginosa	Lactobacillus_curvatus	Ferrovibrio_sp_K5	bacterium_M00_F_Ca_ET_230_01_1_1	Alphaproteobacteria_bacterium_SYSU_XM001	Burkholderiales_bacterium_C2	Sterolibacteriaceae_bacterium_M52	Lautropia_sp_KCOM_2505	Cloacibacterium_normanense	Bifidobacterium_longum	Ralstonia_sp_GV074	Porphyrobacter_cryptus	Haematobacter_massiliensis	Mangrovicoccus_ximenensis	Gordonia_sp_852002_10350_SCH5691597	Mycobacterium_tuberculosis	Lactobacillus_vaccinostercus	Cutibacterium_acnes	Lactobacillus_fermentum	Lactobacillus_paracasei	Lactobacillus_plantarum	Lactobacillus_pentosus	Lactobacillus_brevis	Paracoccus_sanguinis	Brevundimonas_sp_AAP58	bacterium_YEK0313	Zhizhongheella_caldifontis	Bacillus_circulans	Bacillus_cereus	Ralstonia_sp_UNC404CL21Col	Lactococcus_garvieae	Lactococcus_lactis	Methyloversatilis_thermotolerans	Paracoccus_sp_SY	Streptococcus_mutans	Staphylococcus_aureus	Kocuria_rosea	Pediococcus_pentosaceus	Pediococcus_acidilactici	Weissella_paramesenteroides	Methyloversatilis_discipulorum	Serinicoccus_profundi	Bordetella_hinzii
Ca_5	Ca	0	0	0	0	0	0	0	0	0	2.265320867	3.271316573	0	3.617587211	0	0	0	0	0	0	0	2.828186367	3.039350941	0	0	0	0	3.187124926	0	2.865613873	0	0	0	0	0	0	0	0	2.335148633	0	0	0	4.842891759	0	0	0	3.912763385	0	0	0	0	0	0	0	0	0	0	0	0	2.528866185	0	0	0	0	0	0	0	3.999931153	0	2.62227398
Ca_6	Ca	0	0	0	0	0	1.773122354	0	0	0	0	3.103027866	3.55183993	0	0	0	1.745137837	2.861638899	0	0	0	3.005747324	0	1.939081161	0	0	2.738926041	2.924024486	0	2.90073125	0	0	0	0	0	0	0	0	2.153992461	0	0	0	3.883433035	0	0	0	4.864303941	0	2.319725414	2.322425024	0	0	1.568604933	2.537707584	0	0	0	0	0	2.215563542	0	0	0	0	0	0	2.781100569	3.914915853	0	0
Ca_7	Ca	0	0	0	0	0	1.676039674	0	0	0	0	0	0	0	0	0	0	1.586777155	0	0	0	2.198701241	0	0	0	0	0	2.255393157	0	2.20534996	0	0	0	0	0	0	0	0	1.898682333	0	0	0	4.546920071	0	0	0	4.775515738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.248992092	0	1.705832215
Ca_8	Ca	0	0	0	0	0	1.642669762	1.435954669	0	0	0	2.653541057	0	2.499628515	0	0	0	1.952536315	0	0	0	3.349674806	2.913715581	0	0	0	2.989134403	3.099921641	0	2.961907107	0	0	0	0	0	0	0	0	2.253342229	0	0	0	3.815470697	0	3.15847629	0	4.797174476	0	0	0	0	0	1.545190971	3.181512498	0	0	0	0	0	1.926084059	0	0	0	0	0	0	0	4.26891128	0	0
Ca_9	Ca	0	0	0	0	0	2.858456068	0	0	0	0	2.510681389	0	0	0	2.072406695	0	3.156568142	0	0	0	3.042199867	2.813761328	0	0	0	0	3.030270823	0	2.637908314	0	0	0	0	0	0	0	0	2.499213208	0	0	0	4.151714338	0	3.2027529	0	4.26304403	0	0	0	0	0	0	0	0	0	0	0	3.13338217	2.234064403	0	0	0	0	2.574286633	0	0	3.970380304	0	2.387832934
CIN_1	CIN	0	0	0	0	0	0	0	0	0	0	3.110151223	0	0	0	0	0	0	0	0	0	1.840499466	2.579952218	0	0	0	0	0	0	2.68688476	0	0	0	0	0	0	0	0	0	0	0	0	4.957753292	0	0	0	3.779949878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98972606	0	0
CIN_10	CIN	0	0	0	0	0	2.541965743	1.615091949	0	0	0	3.621241646	0	0	0	0	2.200589293	0	0	2.473247415	0	2.794191258	3.636162243	0	0	0	0	2.651831667	0	2.857427338	1.654813852	0	0	0	0	3.371186594	0	0	0	0	0	0	4.841353443	0	0	0	3.683031857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.083447598	0	0	0	3.798555674	0	2.700089491
CIN_11	CIN	0	0	0	0	0	0	0	0	0	0	3.085873032	4.075889747	0	0	0	0	0	0	0	0	3.106849332	0	0	0	0	0	2.051645888	0	2.24480402	0	0	0	0	0	0	3.491093835	0	0	0	0	0	3.944992229	1.918039968	0	0	4.834438215	2.745943489	2.411007013	0	0	0	0	0	0	0	0	0	0	1.750546642	0	0	0	0	0	3.35708228	2.559309239	3.159766473	0	0
CIN_12	CIN	0	2.072694801	0	0	3.351273821	2.084993848	0	0	0	0	3.561138486	0	0	0	0	0	0	0	0	0	2.971603723	4.293143148	2.109996245	0	0	3.15950015	2.465361476	0	2.62490558	1.932947075	0	0	0	0	0	0	0	0	0	0	0	4.275942135	0	0	0	4.080273644	0	0	0	0	0	0	0	0	0	0	0	0	2.442773826	0	0	0	0	0	0	0	3.580342127	0	1.971592786
CIN_13	CIN	0	0	0	0	0	0	1.916871462	0	0	0	0	4.03900655	0	0	0	0	2.400607755	0	0	0	1.939646909	0	1.451542362	0	0	0	0	0	1.982656351	0	0	0	0	0	3.0201237	0	0	0	0	0	0	3.904638456	2.312782186	0	0	4.875272909	3.055975796	2.398832518	2.584136884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.726254303	2.797294992	2.627619664	0	0
CIN_14	CIN	2.506750881	0	0	0	0	0	0	0	0	0	0	0	0	2.667853086	0	0	2.171986112	2.912183198	3.384221131	0	2.844069585	3.267348945	2.513138941	0	0	2.498226244	2.789392216	0	3.055555251	0	0	2.179103814	0	0	0	3.194558675	0	0	0	0	0	3.92437149	0	0	0	4.101349465	0	0	0	0	0	0	0	0	0	0	0	3.055008645	2.076548547	1.946105452	0	0	0	0	0	0	3.778341827	0	2.184362699
CIN_15	CIN	0	2.21742618	0	0	0	2.59526183	0	2.076761958	0	0	3.525051715	0	0	0	0	0	0	0	0	0	2.366322909	3.025397666	1.552448625	0	0	0	1.953986003	0	1.982205993	0	0	0	0	0	3.081790292	0	0	0	0	0	0	4.472713613	0	3.861878596	0	3.154728506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.438746708	0	0	0	3.061248224	0	1.993060259
CIN_2	CIN	0	0	0	0	0	1.95948682	1.473140302	0	0	0	3.290279738	0	3.152238154	0	0	0	0	0	0	0	2.095937245	3.559553853	0	0	0	2.600789911	0	0	2.181372038	0	0	0	0	0	0	0	0	0	0	0	0	4.705672552	0	3.918840704	0	4.425832051	0	0	0	0	0	0	0	0	0	0	0	2.64827632	0	0	0	0	0	0	0	0	2.779125942	0	0
CIN_3	CIN	0	0	0	0	0	0	0	0	0	0	0	4.064531286	0	0	0	0	0.957349341	0	0	0	0	0	2.091361731	0	0	0	0	0	2.199492875	0	0	0	0	0	0	0	0	0	0	0	0	3.94797796	2.115493406	0	0	4.876903253	3.123995223	2.600415662	2.786014304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.493631538	2.664770867	2.828181119	0	0
CIN_4	CIN	0	0	0	0	0	1.858524312	3.022877033	0	0	0	3.580394397	0	0	0	0	0	2.844108485	0	0	0	2.738415673	3.38569944	0	0	0	0	0	0	2.475276137	0	0	0	0	0	0	3.004530932	0	0	0	0	0	4.180458587	0	0	0	4.212287327	0	0	0	0	0	0	0	0	0	0	0	0	1.995442803	2.854543319	0	0	0	0	0	0	3.366365424	0	1.910027023
CIN_5	CIN	0	0	0	0	0	2.742430333	1.751793458	0	0	0	3.06365494	0	0	0	0	0	0	0	0	0	3.087874948	3.528050457	0	0	0	2.755575156	3.103873092	0	2.797476399	0	0	0	0	0	0	0	0	0	0	0	0	4.858118151	0	0	0	3.817749934	0	0	0	0	0	0	0	0	0	0	0	0	2.466240119	0	0	0	0	0	0	0	3.923557611	0	2.736467324
CIN_6	CIN	0	0	0	0	0	0	0	0	0	0	0	4.153084089	0	0	0	0	0	0	0	0	0	0	1.618500416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.139273511	2.142432988	0	0	4.812828618	3.1321428	2.549850178	2.859491622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85135793	2.900326672	2.835016354	0	0
CIN_7	CIN	0	0	0	0	0	2.30680372	2.081664602	0	0	0	2.822780508	0	0	0	0	0	0	2.613613063	0	0	2.045407184	3.017028563	0	0	0	1.778820703	1.552019506	1.674820886	2.101900377	1.220453599	1.103033506	0	0	0	0	0	0	0	1.895226126	0	0	3.98317368	0	3.847242695	0	4.803896227	0	0	0	1.895112045	0	0	0	0	0	0	0	2.425058772	1.561853424	0	0	0	0	0	0	0	3.083983216	0	1.254069528
CIN_8	CIN	0	1.925938356	0	0	0	1.761639976	0	0	0	0	3.56291975	0	0	0	0	0	2.135155167	0	0	0	2.750898295	3.225547034	0	0	0	1.521952966	2.799316019	0	2.815509363	0	0	0	0	0	3.016906048	0	0	0	0	0	0	4.153045022	0	0	0	4.54378608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.635258392	0	0
CIN_9	CIN	0	0	0	0	0	1.874556249	1.275973743	1.455138491	0	0	3.11503769	0	0	0	0	0	3.067282231	0	2.220114541	0	1.806479461	3.526218968	1.423612912	0	0	1.624336191	0	0	1.984911423	0	0	0	0	0	0	2.103165571	0	0	0	0	0	3.389755551	0	0	0	4.432885583	0	0	2.054900121	0	0	0	0	0	0	0	0	3.248494373	0	0	0	0	0	2.259398432	0	2.376175191	2.484402588	0	0
Nor_1	aNor	0	0	0	0	0	1.56976461	0	1.591380488	0	0	2.538626253	0	0	0	0	1.589771876	0	0	0	2.12600711	2.111887173	2.606270033	1.409710238	0	1.77264125	1.929709242	2.378089318	0	2.84196225	0	1.317744867	0	0	1.284291226	0	0	0	0	0	0	0	3.738434643	1.592357059	0	0	4.937382627	2.873164614	2.656703777	0	0	0	1.214125561	0	0	0	1.990725998	0	0	1.800761759	0	2.821337487	0	0	0	2.094343749	2.356893544	3.27993709	0	1.671513165
Nor_10	aNor	0	0	0	0	0	2.068966762	0	0	0	0	3.649249209	0	0	2.349321195	0	0	0	0	0	0	0	4.39106966	0	0	0	0	0	0	2.377899899	1.679975919	0	0	0	0	0	0	0	0	0	0	0	4.711577159	0	0	0	3.677545844	0	0	0	1.33517854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.880789815	0	0
Nor_11	aNor	0	0	0	0	0	0.859691006	0	0	0	0	2.4558535	3.721120298	0	0	0	0.944953441	1.524156161	0	0	0	1.587491462	3.043113672	0	0	0	1.395832125	1.635181841	0	1.923657524	1.066231802	0	0	0	0	0	0	0	0	0	0	0	3.227326618	0	0	2.230543522	4.937361148	2.738347756	2.240572379	2.548421117	0	1.429865474	0	0	0	0	0	0	0	0	0	0	0	0	2.32904753	2.130237548	2.663842271	2.662497633	0	0
Nor_12	aNor	0	0	0	0	0	-0.074454419	0	0.661112742	0	0	1.882343496	0	0	0	0	0	1.006733655	0	0.879457958	0	0.841289569	1.622042304	0	0	0	0	0.865001429	1.845822639	0.816407322	0	0	0.579890979	0	0	0	0	0	0	0	0	0	3.283160467	0	1.869184261	1.967222655	4.957958343	0	0	1.504611364	1.115697284	0	0	0	0	0	0	0	2.57308778	0	0	2.007998003	0	0	0	0	0	1.746010701	0	0
Nor_13	aNor	0	2.360678781	0	0	0	0.572234086	0	1.476362183	0	0	2.050263867	0	0	0	0	0.408772366	1.159111677	0	0	0	1.341422229	2.034999953	0.75767304	0	0	1.31432771	1.345841921	0	1.669397938	0	0	0	0	0	0	0	0	0	0	0	1.557878334	2.280287628	0	0	0	4.99361882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.996522563	0	0	2.248039835	0	0
Nor_14	aNor	0	0	0	-0.623840269	1.360606177	0.799626207	0	2.003656546	1.648095854	0	2.267575791	0	1.057681799	0	0	0.77908182	2.909715789	0	0	0	1.312613764	2.513341336	0.758461527	0	0	1.198034821	1.538725491	0	1.723416643	0	0.347328455	0	0	0	0	1.511669804	1.199035862	0	0	0	0	2.184601183	0	0	2.127395209	4.56225695	0	0	2.253794488	0	0	0	0	1.384444141	0	0	1.709286526	3.440636281	0.374979697	0	0	0	0	2.293873107	0	2.559183459	2.247427991	0	0
Nor_15	aNor	1.129982986	0	0	0	0	2.245121483	1.078631979	0	0	0	2.907638156	3.891620735	0	0	0	1.56457204	0	0	2.291643437	0	2.164578973	2.697530066	0	1.513090345	0	2.232156162	2.189783001	0	2.414050653	0	1.400610997	1.799961153	0	0	0	0	0	1.470707555	0	0	0	4.119330143	1.817355195	0	0	4.562597548	2.808187776	2.563151838	2.826761951	0	0	0	0	0	1.560311654	0	3.330794814	3.415635707	1.624472498	0	0	0	0	3.304424081	2.835766272	2.496190892	3.459405745	0	1.894077259
Nor_2	aNor	0	0	0	0	0	1.005752369	0.818559464	0	0	0	2.615302224	0	2.351325131	0	0	1.107520519	0	0	0	0	1.530432063	2.272556056	0	0	0	1.612518604	1.105468996	1.859205775	2.009620213	0	0	0	0	0	0	0	0	0	0	0	0	3.733187204	0	0	0	4.930271826	0	0	1.580858282	0	0	0	0	0	0	0	1.670343585	2.323143123	0	0	0	0	0	0	0	0	2.39969609	0	0
Nor_3	aNor	0	0	0	0	0	0.924674285	0	2.064539617	0	0	2.562394306	0	0	2.434427773	0	1.129422015	0	0	0	0	1.808994841	2.337854778	0	0	0	2.042556825	0	0	2.272247019	0.878430018	0	0	0	0	0	0	0	0	0	0	0	3.595394377	0	0	0	4.972296606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.241257407	0	0	2.803356849	0	0
Nor_4	aNor	0	0	0	0	1.238606201	1.341834691	0	0	1.614657641	0	2.482696867	0	0	0	0	1.087919204	3.088906845	0	1.816544897	0	1.818959205	3.027742422	0	0	0	1.96201703	0.857217225	0	2.20985062	0.739672018	1.25101035	0	0	0	0	1.583852185	0	0	0	0	0	3.529104389	0	2.969793305	0	4.495756845	0	0	2.327877151	0	0	0	1.582107609	2.065047356	0	0	0	3.419748966	0	0	1.913151925	0	0	2.300542133	0	1.998661524	2.709544097	0	0
Nor_5	aNor	0	0	0	0	0	2.301027634	1.178084367	1.587771258	0	3.386477414	3.125908995	0	3.074851446	0	2.171268235	1.723565691	1.581470095	0	0	0	1.446670773	3.361092473	2.044826943	0	1.917576353	0	0	0	1.649025196	0	0	2.183434928	0	2.589044473	0	0	2.546804358	0	0	0	0	4.106660447	0	3.630048863	0	3.411467476	0	1.797289603	0	2.004001953	0	0	0	0	0	2.090613241	0	0	0	0	0	0	0	0	0	0	2.262327034	1.708418019	0
Nor_6	aNor	0	0	0	0	0	1.983405571	1.722511248	1.819735639	0	0	2.946747222	0	1.8416897	0	2.554994438	1.583500334	2.074993003	0	0	0	0	3.809652667	2.864807477	1.900823135	1.947785118	0	1.621297401	0	0	1.14794912	0	1.575989486	0	0	0	1.827641078	0	0	0	0	1.471167267	4.250717078	0	3.444236656	0	4.82673544	2.672752555	2.097242295	0	0	0	0	0	0	0	2.025986914	0	0	0	0	0	0	0	0	2.481696705	0	1.857177375	0	0
Nor_7	aNor	0	0	0	0	0	0.37561074	0	0	1.458672456	0	1.974539543	0	1.786719298	0	0	0.560769705	0	0	0	0	0.655631939	1.813664539	0	0	0	0	0	1.970383971	0.873178301	0	0	0	0	0	0	0	0	0	0	0	0	3.220064591	0	0	0	4.960214193	0	0	0	0	0	0	0	0	0	0	1.58754592	2.789360676	0	0	2.299962964	0	0	0	0	0	1.628273632	0	0
Nor_8	aNor	0	2.325748761	0	0	0	1.490393918	1.143437197	1.092993573	0	0	2.378723409	0	0	0.785113746	0	0.553594632	0.979915353	0	0	1.093723663	0.979803369	2.183024191	0	0	0	0	0	0	1.21063446	0	0	0	0	0	0	1.092679156	0	0	0	0	0	2.200986246	0	0	0	4.964760273	0	0	0	0	0.870734181	0	0	0	0	0	0	2.34446334	0	0	0	0	0	2.346086042	0	0	1.483950708	0	0
Nor_9	aNor	0	0	0	0	1.760161824	1.309325714	0.493303677	1.054149126	1.806134338	0	2.581566076	3.249506296	2.45778894	0	0	0.798057659	2.626111385	0	1.086152662	1.165839272	0.97964577	3.163418626	0.941107067	0	0	1.184595515	1.464508087	0	1.398957648	0.681269336	0	0	0	0	0	1.443678334	0	0	0	0	0	2.271232479	0	0	0	4.535087996	0	0	2.358419627	0	0	0.127088434	0	1.738514514	1.73018572	0	0	3.541491609	0.269478531	0	0	0	0	2.35472942	1.654612596	2.402119172	1.773403985	0	0
