Name	Underarm_01	Underarm_02	Underarm_03	Underarm_04	Underarm_05	Underarm_06	Underarm_07	Underarm_08	Underarm_09	Underarm_10	Underarm_11	Underarm_12	Underarm_13	Underarm_14	Underarm_15	Underarm_16	Underarm_17	Underarm_18	Underarm_19	Underarm_20
Bacillus_pumilus	0.005880123	0.001245338	0.014050139	0.000715048	0.005119951	0.017288947	0.002383044	0.00187093	0.001441017	0.007341231	0.009696436	0.013858245	0.007264007	0.00057528	0.019533813	0.006023849	0.006213654	0.012537125	0.000498842	0.000706051
Acinetobacter_soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000626232
Staphylococcus_sp_AtDRG32	0	0	0	0.03266835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax_sp_GW101_3H11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfuriferula_sp_AH1	0	0	0.000793122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus_wulumuqiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000198476	0	0	0	0	0
Moraxella_atlantae	0	0.000220236	0	0	0	0	0	0	0	0	0	1.11E-05	0	0	0	0	0	2.08E-05	0.008072272	5.03E-05
Sphingomonas_sp_ABOLF	0.000749591	0.000142054	0	0	0	0	0	0.000269055	0	0	0	0.000912908	0	0	0.000642842	0	0	0	0.000107893	0.000274187
Zimmermannella_alba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.52E-05
Corynebacterium_sp_Marseille_P4122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001134883	0	0	0	0	6.55E-05
Brachybacterium_muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.18E-05	0.000121606
Sphingopyxis_bauzanensis	0	0	0	0	0	0	0	0	0	0.000142008	0	2.40E-05	0.001031899	0	0	0	0	0	0	0
Dyadobacter_psychrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.26E-05	0
Paracoccus_lutimaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000127686	0	0	0	0	9.78E-05
Blastococcus_endophyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112019	0
Corynebacterium_jeddahense	0.003057211	0.362532837	0.000666504	0.000299643	0.002253828	0.00094291	0.000891018	0.06929314	0.000280242	0.00423955	0.000169936	0.025352117	0.000163914	0.003951946	0.00299647	6.22E-05	0.000105957	0.000112734	0.004324152	8.22E-05
Massilia_timonae	0	0	0	0	8.93E-05	0	0	0	0	0	0	0	0	0	0	0.00018772	0	0	0	0
Bosea_sp_CF476	0	0	0	0	0	0	0	0	0	4.21E-05	0	0	0	0	0	0	0	0	0	0
Corynebacterium_sp_HMSC078H07	0	0	0	0	0.002022876	0	0	0.000374866	0	0	0	0	0	0	0	0	0	0	0.003093522	0.000209658
Xanthomonas_campestris	0	0	0	0	0	0	0	0	0	0.000670509	0	0	0	0	0	0	0	0	0	0
Pseudomonas_sp_F_2018	0	0.000660781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonia_sp_GAMMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006543453	0
Sphingomonas_sp_Leaf257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.74E-05	0
Paracoccus_sp_M683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastococcus_aggregatus	0	0	0	0	0	0	0	0	0	0.000694648	0	0	0	0	0	0	0	0	0.00020833	0
Corynebacterium_senegalense	0	0	0	0	0	0	1.83E-05	0.0041086	0	0	0	0	0	6.08E-05	0.001522135	0	0	0	0.000488362	0
Rhodobacter_sp_LPB0142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67E-05	0
Roseomonas_mucosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001105899
Corynebacterium_hadale	0	0.000702307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001442411	0
Aliihoeflea_sp_2WW	0	0	0	0	0	0	5.79E-05	0	0	0.000156966	0	0	0	0	0.000184448	0.000414544	0	0	0	0
Acidovorax_temperans	0	0	0	0	0	3.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_sp_HMSC059E07	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000873528	0	0	0	0	0	0
Pseudomonas_sp_FW305_130	0	0	0	0	0	0	0	0.000306336	5.49E-05	0	0	0.001475932	0	1.82E-05	0.000246033	6.36E-05	0.00012193	0	0	1.37E-05
Janibacter_limosus	0	0.000410547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobiales_bacterium_YIM_77505	0	0	0	2.73E-05	0	2.53E-05	0.000128915	0	0.000138341	0	0	2.74E-05	0	1.75E-05	1.36E-05	0	0	0.000329096	0	0
Burkholderiales_bacterium_C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.31E-05	0	0	0
Haematobacter_missouriensis	0	5.77E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_indicus	1.17E-05	0.001671461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium_sp_CCH5_D2	0	0	0.000152297	0	0	0	0	0	0	0.00014348	0	0	0	0	0.000241808	0	0	0	0.000933811	1.86E-05
Sphingomonas_koreensis	0	0	0	0	0	0	0	0	0	0.000100698	0	0	0	0	0	0	0	0	3.37E-05	0
Brachybacterium_sp_UMB0905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000406523	0	0	0	0	0
Pseudoxanthomonas_sp_J35	0	0.000174696	1.01E-05	0	0	7.82E-05	0	0	0	0	0	4.46E-05	0.000178694	0	0	0	1.14E-05	0	5.73E-05	0
Sphingomonas_sp_ABOLG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000144415	0.000327122
Rahnella_sp_AA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000252203	0.000523127	0	0
Janibacter_indicus	0.000490891	0.022801952	4.31E-05	0	0.000333091	3.68E-05	0.000179174	0.000237426	0	0.000731061	0.000264944	4.95E-05	0	0	0.001119577	0.000811542	0	0	0.000886529	2.32E-05
Novosphingobium_sp_HII_3	0.000289752	0.000457579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.82E-05
Stenotrophomonas_sp_BK441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00016244
Micrococcus_sp_MS_ASIII_49	0	0	0	0	0.011089598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_ureicelerivorans	9.68E-05	0.003166523	0.002290101	2.26E-05	0.000385856	0.000575361	0.000344638	0.003707131	2.02E-05	0.006664982	7.57E-05	0.000382096	7.41E-05	0.000454961	0.002609208	9.94E-05	0.001202275	0.002859796	0.489965431	0.000294927
Actinomyces_sp_HMSC035G02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacterium_normanense	0	0	0	0	0	0	0	0	0.002666682	0	0	0.00725868	0	0	0	0	0	0	0	0
Luteibacter_yeojuensis	0	0	0	0	0	0	0	0	0	0	0	0	0.000504946	0	0	0	0	0	0	0
Corynebacterium_lipophiloflavum	0	0	0	0	0	0	0	0.00087012	0	0	0	0	0	0	0	0	0	0	0.00116567	0
Belnapia_rosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48E-05	0
Lysobacter_soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34E-05
Corynebacterium_sp_HMSC08F01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020625	0
Herminiimonas_sp_KBW02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50E-05	0
Salinivibrio_proteolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002185146	0	0	0	0	0
Corynebacterium_sp_NML98_0116	0	0.000805706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yokenella_regensburgei	0	0	0	0	0	0	0	0	0	0.000797598	0	0	0	0	0	0	0	0	0	0
Pseudopropionibacterium_propionicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28E-05
Halomonas_hydrothermalis	0	0.000668792	0	0.000242545	0	0	0.002225114	0.001409643	0.000770333	0.003258533	0	0	0	0	0.008489974	0.00186083	0.004136418	0.006541722	0.000501282	0.00022134
Micrococcus_luteus	0.000128224	0.017215528	0.000122285	0.000940203	0.105795315	0.010224815	0.031176007	0.065018182	0.00011548	0.017999445	0	0.00560254	0.000368458	0	0.007656032	0	0	0	0.008285937	0
Micrococcus_lylae	0	0	0	0	0	0	0.000272319	0	0	0	0	0	0	0	0	0	0	0	0	4.48E-05
Dermacoccus_nishinomiyaensis	0.067978004	2.86E-05	3.76E-05	4.73E-05	0.000537634	0.000256541	0.000518353	0.016654663	5.92E-05	0.005434733	0	0	3.09E-05	1.99E-05	0.019484512	0.000211496	3.83E-05	0.008353002	7.78E-05	0.00240487
Alishewanella_sp_WH16_1	0.004159831	0	0	0.00062764	0.003183568	0.000206456	0.002579641	0.000108637	0.001343441	0	0	0	0	0	0.004323127	0	0	0	0	0
Methylobacterium_currus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.86E-05	0
Serratia_marcescens	0	0	0	0	0	0	0	0.00089815	0.00016794	0.002043495	0	0.003442362	0	0.000126445	0.004297705	0.001596335	0.003541394	0.002310398	0	0
Brevundimonas_sp_KM4	0	0	0	0	0	0	0	0	0	0.001173077	0.000492785	0	0	0	0	0	0	0	0	0.000126102
Aureimonas_sp_AU22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75E-05	0
Acidovorax_ebreus	0	0	0	1.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exiguobacterium_sp_S17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56E-05
Corynebacterium_sp_HMSC08C04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.28E-05
Peptoniphilus_rhinitidis	0	0	0	0	0.083077071	0	0	0	0	0	0	0	0	0.013229073	0	0	0	0	0	0
Staphylococcus_capitis	0.204715941	0.002974805	0.019791789	0.524392445	0.017993288	0.043397914	0.000168913	0.000530569	0.00015886	0.003290332	0.000512763	0.018044618	0.013410362	0.001276807	0.001599711	0.086528551	0.006806895	0.000491963	0.006847195	0.00286308
Staphylococcus_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus_haemolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012610264	0	0.064960075	0.107505858	0	0.097910723	0.072229929
Staphylococcus_epidermidis	0.544000963	0.02030473	0.140631174	0.030012975	0.323848548	0.145932764	0.606876851	0.102522957	0.585771744	0.042254298	0.69624259	0.020458796	0.478325393	0.485706048	0.091195149	0.535968146	0.501322618	0.044923839	0.020133488	0.096124161
Dermabacter_sp_HMSC08H10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000227365	0	0	0	0	0.000225962	9.88E-05
Rhizobium_selenitireducens	0	0	0	0	0	0	0	0	0	3.56E-05	0	0	0	0	0	0	0	0	0	0
Halomonas_sp_KX33721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000629918	0	0	0
Corynebacterium_glucuronolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79E-05	0	0	0	0	0	0
Microvirga_flocculans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39E-05	0
Streptococcus_mutans	0.000155023	0.000125974	0.029043051	2.19E-05	0.000105966	0.000786732	0.000140473	0.026057642	0.003449941	0.000149957	0.012075195	0.00094492	0.011346434	2.55E-05	0.022587006	0.0004362	0.002662499	0.000117205	0.000988835	0.000485866
Candidatus_Blastococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.77E-05	0
Peptoniphilus_lacydonensis	0	0	0	0	0	0	0	0	0	0	0	0	0.001052626	0.036649632	0	0	0	0	0	0
Mycobacterium_sp_SWH_M3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000562288	0	0	0	0
Corynebacterium_sp_BCW_4722	1.10E-05	0.001360692	0	0	0	0	0	0	0	0.000405535	0	0	4.52E-05	0.002959421	2.39E-05	0	0	0	0.000505699	0
Halomonas_lionensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000160505	0.000787418	0	0	0	0
Methylobacterium_dankookense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107042	0
Salinivibrio_sp_IB872	0	0	0	0	0	0	0	0	0	0	0.001109411	0.023382859	0	0	0	0	0	0	0	0
Phenylobacterium_immobile	0	0	0	0	0.000671705	0	0	0	0	0.00098172	0.000651342	0.004051305	0.00080414	0	0.001997543	0.000662587	0.00136714	0	0	0.000128988
Pseudoxanthomonas_sp_Root65	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacteroides_abscessus	0.000148457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium_M00_F_Ca_ET_230_01_1_1	0	8.30E-05	0	0	0	2.11E-05	0.00024699	0	0	0.000137204	0	0.000415167	0	0	0.000116201	0	6.89E-05	0	3.82E-05	5.37E-05
Sphingomonas_sp_JUb134	0	7.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00044874
Skermanella_aerolata	0	0	0	0	0	0	0	0	0	0.00029733	0.000152767	0	0	0	0	0	0	0	0	6.82E-05
Microbacterium_aurum	0	3.36E-05	2.75E-05	0.000429009	0	4.33E-05	0	0	0	0.000784281	0.000318057	0	0	0	0.000294189	0	0	0	0.001245846	0
Corynebacterium_fournierii	0	0.000311609	1.14E-05	0	0.001276684	3.83E-05	1.91E-05	0.001494624	0.000118201	0.007598678	0	0.003145905	1.83E-05	0.000643561	0	0.000132266	1.65E-05	3.12E-05	0.013180755	0.00032587
Deinococcus_sp_K2S05_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002007808	0	0	0	0	0
Cruoricaptor_ignavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000190878	0
Corynebacterium_sp_HMSC11D10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001527903	0
Mycobacterium_sp_UM_WWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.28E-05	0
Corynebacterium_durum	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57E-05	1.78E-05	0	0	0	0	0
Stenotrophomonas_panacihumi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.68E-05
Pseudomonas_seleniipraecipitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.68E-05	0	0	0	0	0
Ottowia_oryzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bosea_thiooxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.84E-05	0	0	0	0
Mycolicibacterium_novocastrense	0	0	0	0	0	0	0	0	0	0.000109468	0	0	0	0	0	0	0	0	0	0
Bacteroides_vulgatus	0.000135409	0	0	1.85E-05	0	0	0	0	0	0	0	0.000577339	0	0	0	0	0	0	0	0
Micrococcus_terreus	0	0	0	0	0	0	0	0	0.000216544	0	0	0	0	0	0	0	0	0	0	0
Bordetella_ansorpii	1.03E-05	0.001359709	0	0	0	0	0	0	0.000254848	0	0	0	0	0	0	0	0	0	0	0
Alishewanella_sp_HH_ZS	0	0	0	0.000301101	0	0	0	0	0	0	0	0	0	0	0.002221681	0	0	0	0	0
Corynebacterium_sp_HMSC034A01	3.91E-05	0.001589217	0	5.86E-05	0.005630695	0	1.33E-05	0.000856143	2.11E-05	0.04799498	0.000733183	0.000197182	8.12E-05	1.28E-05	0	0	0	5.78E-05	0.011659222	6.77E-05
Halomonas_sp_BC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001327707	0	0
Halomonas_sp_BC1	0	0	0	6.68E-05	0.001294928	0	0.001052873	0.000578759	0	0	0	0	0	0.000173226	0.002210316	0	0	0	0.000132922	0
Gordonia_otitidis	0	6.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000246047	0	0	0.000639174	0	0
Niveispirillum_irakense	0	0.000442576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus_sp_SYSUP0003	0	0.000171742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.74E-05	0.00011995
Blastococcus_saxobsidens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000145243	0
Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001172056	0	0	0	0	0
Trichococcus_flocculiformis	0	0.002640721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas_sp_GFAJ_1	0.000504182	0	0.001992695	7.90E-05	0	0	0	0	0	0	0	0.005830732	0	0	0.00011112	0	0	0	0	0
Acinetobacter_johnsonii	0	0	0.002378239	0.000154903	0	0	0	0.000833433	0.000876911	0.001430209	0	0	0	4.80E-05	0.001066121	0	0	0	0.000343321	0.000118376
Acinetobacter_junii	0.00029744	0.02958767	0.000139183	0.000457426	0.000679032	0.013368231	0.003661597	0	0.000130178	0	0	0	4.99E-05	0	0.004114962	0.000635779	0.000746804	5.91E-05	0.002245971	0
Paracoccus_contaminans	0	0	0	0	0	0	0	0	0	0.000843248	0	0	0	0	0.000661008	0	0	0	0	0.000482381
Empedobacter_brevis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105209	0	0.00219643	0.001001256	0	0	0
Serratia_liquefaciens	0	0	0	0	0	0	0	0	0	0.000277363	0	0	0	2.25E-05	0	0.000279343	0.000303076	0	8.78E-05	0
Propionibacterium_sp_KPL1844	1.41E-05	0.000913661	0.005198581	0	0.011046236	0.000203884	6.71E-05	0.010232354	0.001792914	0.002283118	2.09E-05	0.010117195	0.000329104	0.020014857	0.000134197	0.003204578	0.016413774	6.08E-05	0.00034132	2.28E-05
Diaphorobacter_polyhydroxybutyrativorans	0	0	0	2.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59E-05	0	0	0
Pseudomonas_yangmingensis	0	0.000242389	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000385226	0	0	0	0
Pseudomonas_sp_382	0	0	0	4.27E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.91E-05
Janibacter_hoylei	0	0.000218479	0	0	0.000153786	1.90E-05	0.000169769	0	0	0.004371671	0	0	0	0	0	0.00038907	0	0	0	0
Sphingomonas_sp_TF3	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48E-05	0.000195573	0	0.000302868	0.000556953	0	1.61E-05
Pantoea_septica	0	0	0	0	0	0	0	0	0	0.000832024	0	0	0	0	0	0	0	0	0	3.05E-05
Stenotrophomonas_maltophilia	4.79E-05	0.002476441	0.000549581	2.77E-05	0.000548706	0.000144685	0.000199759	0.000293852	0	0.000230454	0.000482168	0.001083158	2.08E-05	1.33E-05	0.000290227	7.76E-05	1.97E-05	1.69E-05	1.74E-05	0.000256799
Staphylococcus_saprophyticus	0	0	0	0	0	0	0	0	0	0.004304896	0	0	0	0	0	0	0	0	0	0
Kocuria_rhizophila	0.003970814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006141837	0	0.000818255
Caulobacter_sp_FWC26	0	0	0	8.42E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luteibacter_rhizovicinus	0	0	0.000807785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudonocardia_hydrocarbonoxydans	0	0	0	0	0	0	0	0	0	0.000136218	0	0	0	0	0	0	0	0	0	0
Brevibacterium_sp_VCM10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04E-05
Paracoccus_sanguinis	0	0.000413707	0.00483954	4.97E-05	0	2.95E-05	0.000156284	0	0	0.000805144	0	0	0	0	0.002211155	0.000129576	0	0	0.000710928	0.000439832
Perlucidibaca_sp_HR_E	0	0.000258398	0	0	0	2.65E-05	0	0	0	1.12E-05	0	6.05E-05	0	0	1.23E-05	0	0	0	0	0
Microvirga_sp_CCBAU_65841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09E-05	0
Methyloversatilis_universalis	0	0	1.12E-05	1.28E-05	0	4.19E-05	0.0001115	0	0	0	0	2.90E-05	0	0	2.23E-05	0	0	0	0	0
Acinetobacter_lwoffii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000377718	0
Stenotrophomonas_sp_278	0	0.000603246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
